year,operator,route,ac_type,collision,registration,all_aboard,passengers_on_board,crew_aboard,passenger_fatalities,crew_fatalities,on_air_fatalities,ground,total_fatalities,countries,summary
1956,Empresa Aviacion Del Pacifico,Buenaventura - Cali,Douglas Dc-3,0,Hk-385,36,33,3,33,3,36,0,36,Colombia,"Hit El Rucio Mountain at 6,200 ft. which was obscured by clouds. Lack of cockpit discipline. Flight on instruments at an excessively low altitude for the route."
1956,Linee Aeree Italiane,Rome - Paris -  Shannon - New York City,Douglas Dc-6B,0,I-Lead,35,25,10,24,10,34,8,42,France,"Lost altitude on takeoff and crashed into a house. Failed to climb for reasons unknown. The aircraft's slight loss of altitude soon after take off was the main cause of the accident. There is no explanation for this loss of altitude. Orchestra and opera conductor Guido Cantelli, 36, among those killed."
1956,Ceskoslovenske Aerolinie,Eglisau - Prague,Ilyushin Il-12B,0,Ok-Dbp,23,18,5,18,5,23,0,23,Switzerland,Crashed into a field shortly after taking off about 12 km north of the airport.
1956,Linea Aeropostal Venezolana,New York - Caracas,Lockheed 749-79-34 Constellation,0,Yv-C-Ama,25,18,7,18,7,25,0,25,Venezuela,"Struck Silla de Caracas Mountain at 6,700 feet while approaching to land at Maiquetia. Navigation error. The pilot did not follow prescribed approach procedures. St. Louis Cardinal outfielder, Charlie Peete, 27, killed."
1956,Aida,Bogota - Medellin - Quibdo,Consolidated Pby-5A Catalina,0,Hk-133,16,11,5,10,4,14,0,14,Colombia,"The starboard engine failed shortly after takoff and  the plane crash into Quetame Hill, 25km northwest of Santa Cecilia  Airport. Complete failure of the starboard engine due to the breakdown of the lubricating system. Recklessness of the pilot in taking off from a closed airport while aware of the poor weather conditions. The aircraft was also overloaded."
1956,Trans Canada Air Lines,Vancouver - Calgary - Toronto - Montreal,Canadair Dc-4M-2 Northstar,0,Cf-Tfd,62,59,3,59,3,62,0,62,Canada,"The aircraft departed Vancouver en route to Calgary. Some 50 minutes later the pilot reported a fire in the No. 2 engine and was turning back. While flying under the power of 3 engines, the aircraft encountered severe icing, turbulence or other difficulty which led to the loss of control by the crew. It could not be determined why the aircraft was 12 miles south of the assigned airway. The plane crashed high into Mount Slesse. The bodies and wreckage were not found until 05/12/1957 and the wreckage still remains at the site which is now a memorial."
1956,Air France,Training,Vickers 708 Viscount,0,F-Bgnk,5,0,5,0,5,5,0,5,France,Crashed in a steep angle of attack.
1956,Jat Yugoslav Airlines,Wien - Munchen,Convair Cv-340-58,0,Yu-Ada,30,27,3,1,2,3,0,3,Germany,"The co-pilot acting as pilot-in-command and under the instruction of the captain began a descent to land until the aircraft hit the ground, left wing first. Both wings detached and the fuselage slid 1,200 feet."
1956,Linee Aeree Italiane,Rome - Milan,Douglas Dc-3,0,I-Linc,21,17,4,17,4,21,0,21,Italy,The aircraft strayed off the assigned airway and hit a mountain. The pilot did not follow the airways assigned in the flight plan. He did not check his direction and position along the new route. Pilot error.
1956,Military - U.S. Air Force,Charleston - Hamilton - Horta - Lisbon - Tripoli - Dhahran,Lockheed C-121C Super Constellation,0,54-0165,38,31,7,12,0,12,0,12,Saudi Arabia,Crashed and burned while attempting to land in heavy fog at night.
1957,American Airlines,Joplin - Owasso,Convair Cv-240-0,0,N94247,10,7,3,1,0,1,0,1,United States,"Struck trees, hit the ground, and slid 500 ft. after landing short of the runway in rapidly deteriorating condtions.  The captain's lack of alertness in allowing the first officer to continue an instrument descent to an altitude too low to permit terrain clearance."
1957,Lineas Aereas Del Estado,Buenos Aires - Mar Del Plata - Mendoza,Vickers 615 Viking 1B,0,T-11,33,29,4,15,2,17,1,18,Argentina,The domestic flight crashed and burned immediately after takeoff from Buenos Aires after overrunning the runway. Too short a runway and excessive cross-winds for the type of aircraft.
1957,Lanica,San Carlos - Managua,Douglas Dc-3,0,An-Aec,16,13,3,13,3,16,0,16,Nicaragua,"The aircraft hit Concepcion volcano while en route. The aircraft made a left turn towards the volcano, banked sharply in descent, enered a rapid climb and then crashed. Unexplained loss of control."
1957,Air France,Tunis - Paris,Sncase Se.2010 Armagnac,0,F-Bavg,70,60,10,1,1,2,0,2,France,"A first ILS attempt to land at Orly Airport failed. The crew decided to try a second time with GCA guidance. Full power was applied when the crew was not able to see the runway. The aircraft continued to descend impacting the ground in a right bank. The right wing separated and the main fuselage broke-up into four parts. Stalling, as a result of delayed application of power in a final approach configuration and inadequate control of heading, airspeed and altitude after the visual was lost."
1957,Douglas Aircraft,Santa Monica - Santa Monica,Douglas Dc-7B / U.S. Air Force F-89J,1,N8210H/52-187Oa,6,0,6,0,5,5,3,8,United States,"Midair collision between a DC-7 and F-89J Air Force fighter. The DC-7 crashed into a playground of a school  killing 3 junior high school children 3 miles northwest of Sunland. The F-89 crashed into the mountains. Four crew members on the DC-7 were killed. One crew member aboard the F-89 was killed and  the other ejected to safety. The high rate of near head-on closure at high altitude, which together with physiological limitations, resulted in a minimum avoidance opportunity during which the pilots didn't see each other's aircraft. It was the first test flight of the DC-7B. One of the 3 students killed in the accident was the best friend of singer Richie Valens, who died in an airplane crash two years later. Archie Twitchell, test pilot and actor, 50, killed. The high rate of near head-on closure at high altitude in a minimum aviodance opportunity during which both pilots did not see the other aircraft."
1957,Northeast Airlines,New York City - Miami,Douglas Dc-6A,0,N34954,101,95,6,21,0,21,0,21,United States,"Shortly after lifting off from La Guardia Airport in a snowstorm, the plane rolled sharply to the left and crashed on Rikers Island. The failure of the captain to properly observe and interpret his flight instruments and maintain control of his aircraft. Several inmates from the Rikers Island Prison made some heroic rescues and were later pardoned."
1957,Military - U.S. Air Force,"Kimpo Ab - Tokyo, Japan",Douglas C-124C,0,51-141A,159,149,10,19,3,22,0,22,South Korea,"The No. 3 engine seized, causing the propellor to come loose and slice through the side  of the fuselage makng two full turns before exiting. It took two men out with it , idled the No. 4 engine and cut the throttle cable.  While  attempting  an emergency return landing at Kimpo Air Base, level flight could not be maintained and the aircraft descended, crashing into the Han River."
1957,Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,0,N90449,5,2,3,2,3,5,0,5,United States,"Crashed into a densly wooded mountain, 3 miles east of Blyn, while en route to Seattle. Navigation error and poor judgement by the pilot in entering an overcast mountainous area at too low an altitude."
1957,Military -Royal Air Force,Drayton - Multa,Blackburn Beverley C Mark 1,0,Xh117,22,17,5,15,3,18,2,20,United Kingdom,The aircraft crashed into trees and farm buildings about a half-an-hour after taking off from Abingdon airfield.  Fuel starvation due to an valve being installed backwards.
1957,Avianca,Condoto - Buenaventura - Cali,Douglas Dc-3,0,Hk-155,15,12,3,12,3,15,0,15,Colombia,Crashed into mountains  located 32 km west of Tuluá while en route. Pilot did not follow prescribed route nor follow prescribed IFR procedures.
1957,British European Airways,Amsterdam - Manchester,Vickers Viscount 701,0,G-Alwe,20,15,5,15,5,20,2,22,United Kingdom,"The plane suddenly veered and banked to the right while making an approach to land. The plane crashed into houses. Fracture of a 9/16"" bolt on the starboard flap due to fatigue led to loss of control of the aircraft."
1957,Military - Philippine Air Force,Cebu - Manila,Douglas C-47-A-75-Dl Skytrain,0,2100925,25,22,3,21,3,24,0,24,Philippines,"The plane had just taken off from Cebu bound  for Manila when it crashed 20 miles NW of the city. President Ramon Magsaysay, 50, of the Philippines died along with twenty-three others when the plane struck Mt. Manunggal. Magsaysay was on a campaigning trip for reelection. Metal fatigue."
1957,Lloyd Aereo Boliviano,Cochabamba - Oruro,Douglas Dc-3,0,Cp-535,19,16,3,16,3,19,0,19,Bolivia,Crashed into Andies peak while en route. Wreckage found 100 miles northeast of Cochabamba.
1957,Military - U.S. Air Force,Travis Afb - Tokyo,Boeing C-97C,0,50-702A,67,57,10,57,10,67,0,67,the North Pacific Ocean,"Disappeared in  a storm 200 miles southeast of Tokyo, Japan while on a flight from Travis Air Force Base to Tokyo.  Cause unknown."
1957,Varig,Bage - Porto Alegra,Curtiss C-46A-45-Cu,0,Pp-Vcf,40,35,5,35,5,40,0,40,Brazil,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs."
1957,Air France,El Oued - Biskra - Alger - Marseille - Paris,Douglas Dc-3,0,F-Beik,34,30,4,30,4,34,0,34,Algeria,"Crashed just after takeoff, one mile from the airfield. Left engine failure."
1957,Real,Rio De Janerio - Sao Paulo,Douglas Dc-3,0,Pp-Anx,30,26,4,23,3,26,0,26,Brazil,"While en route, fire broke out in the starboard engine. As the plane lost altitude and because of reduced visibility, the pilot did not see the peak of a mountain. When he tried to pull up the plane stalled and crashed. Engine failure."
1957,Transportes Aéreos Mexicanos,Medrida - Mexico City,Consolidated B-24J,0,Xa-Kun,3,0,3,0,3,3,1,4,Mexico,The accident was due to a maneuvering error which consisted in making two turns onto the Mexico City heading without conforming the distance and procedure specifications and below the prescribed altitudes and speeds. This error was aggravated by a probable shifting of the load due to improper securing.
1957,Military -Royal Air Force,"Aqaba Afb - Habbaniya, Iraq",Vickers Valetta C-Mk.1,0,Vw832,24,21,3,21,3,24,0,24,Jordan,Crashed and burned 5 minutes after taking off from Aqaba. The aircraft lost it's left wing after encountering clear air turbulence.
1957,Eagle Aviation,Blackbushe - Tripoli,Vickers Viking 1B,0,G-Ajbo,35,30,5,29,5,34,0,34,United Kingdom,Crashed while attemting an emergency return to the airport shortly after taking off. Engine failure. The failure of the captain to maintain height and a safe flying speed when approaching to land on one engine after the failure of the left engine for reasons unknown.
1957,Indian Airlines,Silhcar - Calcutta,Douglas C-47A,0,Vt-Auv,3,0,3,0,1,1,0,1,India,"The accident is attributed to the insufficient altitude at which the aircraft was flown during an attempt to fly through a thunderstorm. Downdrafts and divergent winds encountered, forced the aircraft to the ground."
1957,Aviaco,Santiago De Compostella - Madrid,Bristol 170 Freighter,0,Ec-Adi,37,32,5,32,5,37,0,37,Spain,"Crashed while attemping to land. The aircraft hit the ground with the front part of the fuselage, the right wing and the right engine propeller and caught fire. Procedural errors by the pilot."
1957,U.S. Overseas Airways,Broughton Island - Narsarsuaq,Douglas Dc-4,0,N68736,3,0,3,0,2,2,0,2,Greenland,Crashed into an ice cap. White-out conditions. Incorrect indication on navigation charts.
1957,Indian Airlines,Training,Douglas Dc-3,0,Vt-Cfb,2,0,2,0,2,2,3,5,India,"During a training exercise the aircraft approached a stall entered a spin, partially recovered but crashed."
1957,Lineas Aereas Del Estado,San - Carlos,Vickers 615 Viking 1B,0,T-3,16,11,5,11,5,16,0,16,Argentina,"The pilot lost in rain and fog searched for a landing area until the plane ran out of fuel and crashed into a 4,500 foot mountain."
1957,Lot Polish Airlines,Warsaw - Moscow,Ilyushin P-14,0,Sp-Lnf,13,8,5,5,4,9,0,9,Russia,The aircraft descended below safe altitude and struck the ground in rain and poor visibility. The crew's application of an approach procedure other than that prescribed by the airport authority.
1957,Swissair,Training,Douglas C-47B,0,Hb-Irk,9,0,9,0,9,9,0,9,Switzerland,"The stalling of the aircraft following a loss of airspeed, whereupon it unintentionally went into a spin and crashed into the water. In view of insufficient altitude, it was not possible to level off the aircraft."
